day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0337,BTC,long_strangle,123221.97,130382.13,2505.3,103.22,2402.08
D0338,BTC,long_strangle,130382.13,126976.93,-1077.4,72.75,-1150.16
D0339,BTC,long_strangle,126976.93,127756.71,-1386.16,57.25,-1443.4
D0340,BTC,iron_condor,127756.71,128506.38,500.33,34.64,465.68
D0341,BTC,iron_condor,128506.38,125690.81,502.81,34.76,468.05
D0342,BTC,iron_condor,125690.81,128211.24,491.03,33.84,457.19
D0343,BTC,iron_condor,128211.24,128539.21,504.97,35.31,469.65
D0344,BTC,iron_condor,128539.21,124723.77,489.06,34.96,454.1
D0345,BTC,iron_condor,124723.77,131755.13,-2018.17,109.01,-2127.18
D0346,BTC,iron_condor,131755.13,135005.16,509.56,34.54,475.02
D0347,BTC,iron_condor,135005.16,134232.29,525.96,36.09,489.87
D0348,BTC,iron_condor,134232.29,131510.09,479.47,28.9,450.57
D0349,BTC,iron_condor,131510.09,128246.89,416.41,29.25,387.16
D0350,BTC,iron_condor,128246.89,133236.04,-974.95,75.93,-1050.88
D0351,BTC,iron_condor,133236.04,132559.15,507.99,33.63,474.36
D0352,BTC,iron_condor,132559.15,134419.38,494.7,31.71,463.0
D0353,BTC,iron_condor,134419.38,133577.06,499.07,31.74,467.32
D0354,BTC,iron_condor,133577.06,136120.97,497.94,31.85,466.09
D0355,BTC,iron_condor,136120.97,135559.2,483.2,28.9,454.29
D0356,BTC,iron_condor,135559.2,138782.02,-2.9,38.28,-41.17
D0357,BTC,iron_condor,138782.02,137917.75,421.62,21.47,400.15
D0358,BTC,iron_condor,137917.75,141488.43,-307.12,51.37,-358.49
D0359,BTC,iron_condor,141488.43,144436.69,296.86,26.16,270.7
D0360,BTC,iron_condor,144436.69,143837.75,371.82,17.07,354.75
D0361,BTC,iron_condor,143837.75,139936.83,-1639.86,63.82,-1703.68
D0362,BTC,iron_condor,139936.83,135798.63,-1383.63,66.28,-1449.91
D0363,BTC,iron_condor,135798.63,132610.57,-94.25,42.43,-136.68
