day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
2026-06-12,BTC,long_strangle,63580.01,64458.01,-0.81,0.02,-0.82
2026-06-13,BTC,long_strangle,64458.01,65746.45,-0.84,0.02,-0.85
2026-06-14,BTC,long_strangle,65746.45,66328.74,-0.87,0.02,-0.89
2026-06-15,BTC,long_strangle,66328.74,65675.01,-0.87,0.02,-0.89
2026-06-16,BTC,long_strangle,65675.01,64509.4,-0.86,0.02,-0.88
2026-06-17,BTC,long_strangle,64509.4,62958.01,-0.85,0.02,-0.86
2026-06-18,BTC,long_strangle,62958.01,63543.91,-0.82,0.01,-0.84
2026-06-19,BTC,long_strangle,63543.91,64298.01,-0.38,0.01,-0.39
2026-06-20,BTC,long_strangle,64298.01,63311.99,-0.1,0.02,-0.12
2026-06-21,BTC,long_strangle,63311.99,64020.01,-0.26,0.01,-0.27
2026-06-22,BTC,long_strangle,64020.01,62734.57,0.32,0.02,0.3
2026-06-23,BTC,long_strangle,62734.57,61077.99,0.68,0.02,0.66
2026-06-24,BTC,long_strangle,61077.99,59794.0,0.36,0.02,0.34
2026-06-25,BTC,long_strangle,59794.0,60097.27,-0.27,0.01,-0.28
2026-06-26,BTC,long_strangle,60097.27,60029.0,-0.29,0.01,-0.3
2026-06-27,BTC,long_strangle,60029.0,59577.01,-0.28,0.01,-0.3
2026-06-28,BTC,long_strangle,59577.01,60260.21,-0.19,0.01,-0.2
2026-06-29,BTC,long_strangle,60260.21,58624.71,0.78,0.02,0.76
2026-06-30,BTC,long_strangle,58624.71,60024.0,0.52,0.02,0.5
2026-07-01,BTC,long_strangle,60024.0,61560.0,0.46,0.02,0.43
2026-07-02,BTC,long_strangle,61560.0,62583.26,-0.2,0.02,-0.22
2026-07-03,BTC,long_strangle,62583.26,63144.01,-0.37,0.01,-0.39
2026-07-04,BTC,long_strangle,63144.01,63650.0,-0.34,0.01,-0.35
2026-07-05,BTC,long_strangle,63650.0,64042.02,-0.3,0.01,-0.31
2026-07-06,BTC,long_strangle,64042.02,63363.99,-0.27,0.01,-0.29
2026-07-07,BTC,long_strangle,63363.99,62290.0,0.09,0.02,0.07
2026-07-08,BTC,long_strangle,62290.0,63230.0,-0.14,0.02,-0.16
2026-07-09,BTC,long_strangle,63230.0,64161.72,-0.18,0.02,-0.2
2026-07-10,BTC,long_strangle,64161.72,63819.0,-0.26,0.01,-0.27
2026-07-11,BTC,long_strangle,63819.0,62334.52,0.68,0.02,0.66
2026-07-13,BTC,long_strangle,62334.52,65043.98,1.82,0.02,1.8
2026-07-14,BTC,long_strangle,65043.98,64756.28,-0.37,0.02,-0.39
2026-07-15,BTC,long_strangle,64756.28,63830.2,-0.25,0.02,-0.27
2026-07-16,BTC,long_strangle,63830.2,63931.67,-0.38,0.02,-0.39
2026-07-17,BTC,long_strangle,63931.67,64834.22,-0.35,0.02,-0.36
2026-07-18,BTC,long_strangle,64834.22,64722.54,-0.38,0.02,-0.4
2026-07-19,BTC,long_strangle,64722.54,65255.51,-0.36,0.01,-0.37
2026-07-20,BTC,long_strangle,65255.51,64139.99,-0.02,0.02,-0.04
2026-07-24,BTC,long_strangle,64139.99,64375.0,-0.36,0.01,-0.38
2026-07-25,BTC,long_strangle,64375.0,65399.99,-0.18,0.02,-0.2
2026-07-26,BTC,long_strangle,65399.99,63755.86,0.58,0.02,0.56
2026-07-27,BTC,long_strangle,63755.86,63915.0,-0.26,0.01,-0.27
2026-07-28,BTC,long_strangle,63915.0,63984.28,-0.26,0.01,-0.27
2026-07-29,BTC,long_strangle,63984.28,64780.02,-0.02,0.02,-0.04
2026-07-30,BTC,long_strangle,64780.02,62887.88,1.07,0.02,1.05
2026-07-31,BTC,long_strangle,62887.88,62823.64,-0.29,0.01,-0.31
